,Estimate,Std. Error,t value,Pr(>|t|),2.50%,97.50%,region
dayFriday,-13.07710707,1.060241554,-12.33408276,1.58E-19,-15.19016544,-10.9640487,Torbay
dayMonday,-13.31657171,1.060600364,-12.55569218,6.50E-20,-15.43034518,-11.20279823,Torbay
daySaturday,-3.00351179,1.03473456,-2.902688194,0.004889453,-5.065734793,-0.941288786,Torbay
dayThursday,-13.8438687,1.035279183,-13.37211153,2.59E-21,-15.90717714,-11.78056027,Torbay
dayTuesday,-14.52799496,1.058070144,-13.73065391,6.45E-22,-16.63672571,-12.4192642,Torbay
dayWednesday,-14.03963468,1.057936947,-13.27076696,3.84E-21,-16.14809998,-11.93116939,Torbay
bank_holiday,-17.57949903,1.391727671,-12.63142165,4.80E-20,-20.35320828,-14.80578978,Torbay
days_since_lockdown,0.329821544,0.011871068,27.78364561,1.48E-40,0.30616254,0.353480548,Torbay
(Intercept),-56.86383625,1.130173471,-50.31425504,2.05E-58,-59.11626873,-54.61140377,Tyne and Wear
dayFriday,-15.44755096,1.358527116,-11.37080797,8.05E-18,-18.1550916,-12.74001032,Tyne and Wear
dayMonday,-16.12646282,1.358986874,-11.86653317,1.05E-18,-18.83491975,-13.41800589,Tyne and Wear
daySaturday,-2.218140492,1.325844051,-1.67300256,0.098607362,-4.860543876,0.424262892,Tyne and Wear
dayThursday,-16.07108814,1.326541898,-12.11502492,3.83E-19,-18.71488233,-13.42729395,Tyne and Wear
dayTuesday,-16.59236225,1.355744807,-12.23855859,2.32E-19,-19.29435776,-13.89036675,Tyne and Wear
dayWednesday,-16.69240358,1.355574138,-12.31389941,1.71E-19,-19.39405894,-13.99074822,Tyne and Wear
