"","week","week_start_date","region","type_mobility","mobility_av"
"results.314",58,2020-02-26,"Yorkshire and the Humber","parks",-16.0892857142857
"results.315",58,2020-02-26,"Yorkshire and the Humber","transit_stations",-50.5714285714286
"results.316",58,2020-02-26,"Yorkshire and the Humber","workplaces",-39.4821428571429
"results.317",58,2020-02-26,"Yorkshire and the Humber","residential",15.1071428571429
"results.318",58,2020-02-26,"Yorkshire and the Humber","retail_recreation_av",-52.5102040816327
"results.319",58,2020-02-26,"Yorkshire and the Humber","grocery_pharmacy_av",-10.9438775510204
"results.320",58,2020-02-26,"Yorkshire and the Humber","parks_av",-0.756802721088436
"results.321",58,2020-02-26,"Yorkshire and the Humber","transit_stations_av",-45.3520408163265
"results.322",58,2020-02-26,"Yorkshire and the Humber","workplaces_av",-36.1224489795919
"results.323",58,2020-02-26,"Yorkshire and the Humber","residential_av",13.6964285714286
"results.324",61,2020-03-04,"East","retail_recreation",-51.9571428571429
"results.325",61,2020-03-04,"East","grocery_pharmacy",-14.2428571428571
"results.326",61,2020-03-04,"East","parks",23.4676870748299
"results.327",61,2020-03-04,"East","transit_stations",-57.3
"results.328",61,2020-03-04,"East","workplaces",-38.2
"results.329",61,2020-03-04,"East","residential",15.9142857142857
"results.330",61,2020-03-04,"East","retail_recreation_av",-38.6857142857143
"results.331",61,2020-03-04,"East","grocery_pharmacy_av",-12.4571428571429
"results.332",61,2020-03-04,"East","parks_av",35.3016034985423
"results.333",61,2020-03-04,"East","transit_stations_av",-47.5921282798834
"results.334",61,2020-03-04,"East","workplaces_av",-36.9816326530612
"results.335",61,2020-03-04,"East","residential_av",13.7052154195011
"results.336",61,2020-03-04,"East Midlands","retail_recreation",-54.4345238095238
"results.337",61,2020-03-04,"East Midlands","grocery_pharmacy",-12.375
"results.338",61,2020-03-04,"East Midlands","parks",18.7551020408163
"results.339",61,2020-03-04,"East Midlands","transit_stations",-52.3571428571429
"results.340",61,2020-03-04,"East Midlands","workplaces",-38.3412698412698
"results.341",61,2020-03-04,"East Midlands","residential",15.0178571428571
"results.342",61,2020-03-04,"East Midlands","retail_recreation_av",-41.875283446712
"results.343",61,2020-03-04,"East Midlands","grocery_pharmacy_av",-11.9299886621315
"results.344",61,2020-03-04,"East Midlands","parks_av",29.1565840621963
"results.345",61,2020-03-04,"East Midlands","transit_stations_av",-43.155612244898
"results.346",61,2020-03-04,"East Midlands","workplaces_av",-36.6187641723356
"results.347",61,2020-03-04,"East Midlands","residential_av",12.858843537415
"results.348",61,2020-03-04,"London","retail_recreation",-64.2857142857143
"results.349",61,2020-03-04,"London","grocery_pharmacy",-18.5714285714286
"results.350",61,2020-03-04,"London","parks",7.42857142857143
"results.351",61,2020-03-04,"London","transit_stations",-65.2857142857143
"results.352",61,2020-03-04,"London","workplaces",-51.2857142857143
"results.353",61,2020-03-04,"London","residential",20.7142857142857
"results.354",61,2020-03-04,"London","retail_recreation_av",-53.4285714285714
"results.355",61,2020-03-04,"London","grocery_pharmacy_av",-17.3061224489796
"results.356",61,2020-03-04,"London","parks_av",12.2857142857143
"results.357",61,2020-03-04,"London","transit_stations_av",-58.4489795918367
"results.358",61,2020-03-04,"London","workplaces_av",-48.7755102040816
"results.359",61,2020-03-04,"London","residential_av",18.2244897959184
"results.360",61,2020-03-04,"North East","retail_recreation",-52.4821428571429
"results.361",61,2020-03-04,"North East","grocery_pharmacy",-9.91071428571429
"results.362",61,2020-03-04,"North East","parks",8.54081632653061
"results.363",61,2020-03-04,"North East","transit_stations",-52.0178571428571
"results.364",61,2020-03-04,"North East","workplaces",-35.6607142857143
"results.365",61,2020-03-04,"North East","residential",13.8239795918367
"results.366",61,2020-03-04,"North East","retail_recreation_av",-38.6989795918367
"results.367",61,2020-03-04,"North East","grocery_pharmacy_av",-9.16241496598641
"results.368",61,2020-03-04,"North East","parks_av",26.262342079689
"results.369",61,2020-03-04,"North East","transit_stations_av",-40.5025510204082
"results.370",61,2020-03-04,"North East","workplaces_av",-33.2846209912536
"results.371",61,2020-03-04,"North East","residential_av",11.4052478134111
"results.372",61,2020-03-04,"North West","retail_recreation",-53.8142857142857
"results.373",61,2020-03-04,"North West","grocery_pharmacy",-12.2
"results.374",61,2020-03-04,"North West","parks",5.65844671201814
"results.375",61,2020-03-04,"North West","transit_stations",-53.7142857142857
"results.376",61,2020-03-04,"North West","workplaces",-38.8571428571429
"results.377",61,2020-03-04,"North West","residential",15.1
"results.378",61,2020-03-04,"North West","retail_recreation_av",-38.4326530612245
"results.379",61,2020-03-04,"North West","grocery_pharmacy_av",-11.2577259475219
"results.380",61,2020-03-04,"North West","parks_av",22.7945011337868
"results.381",61,2020-03-04,"North West","transit_stations_av",-41.8591836734694
"results.382",61,2020-03-04,"North West","workplaces_av",-36.3510204081633
"results.383",61,2020-03-04,"North West","residential_av",12.6408163265306
"results.384",61,2020-03-04,"South East","retail_recreation",-55.1804511278196
"results.385",61,2020-03-04,"South East","grocery_pharmacy",-15.7744360902256
"results.386",61,2020-03-04,"South East","parks",12.6376488314624
"results.387",61,2020-03-04,"South East","transit_stations",-59.2105263157895
"results.388",61,2020-03-04,"South East","workplaces",-44.593984962406
"results.389",61,2020-03-04,"South East","residential",18.0254803675856
"results.390",61,2020-03-04,"South East","retail_recreation_av",-41.1668565352776
"results.391",61,2020-03-04,"South East","grocery_pharmacy_av",-14.4100185528757
"results.392",61,2020-03-04,"South East","parks_av",27.502482785094
"results.393",61,2020-03-04,"South East","transit_stations_av",-49.0091122626031
"results.394",61,2020-03-04,"South East","workplaces_av",-42.2470461868958
"results.395",61,2020-03-04,"South East","residential_av",15.4621076500776
"results.396",61,2020-03-04,"South West","retail_recreation",-56.967032967033
"results.397",61,2020-03-04,"South West","grocery_pharmacy",-15.1098901098901
"results.398",61,2020-03-04,"South West","parks",14.2261904761905
"results.399",61,2020-03-04,"South West","transit_stations",-53.6813186813187
"results.400",61,2020-03-04,"South West","workplaces",-41.3956043956044
"results.401",61,2020-03-04,"South West","residential",16.4395604395604
"results.402",61,2020-03-04,"South West","retail_recreation_av",-40.1711706660686
"results.403",61,2020-03-04,"South West","grocery_pharmacy_av",-12.2511773940345
"results.404",61,2020-03-04,"South West","parks_av",36.9332231260803
"results.405",61,2020-03-04,"South West","transit_stations_av",-40.2847723704866
"results.406",61,2020-03-04,"South West","workplaces_av",-38.7080062794349
"results.407",61,2020-03-04,"South West","residential_av",13.6514913657771
"results.408",61,2020-03-04,"West Midlands","retail_recreation",-53.2040816326531
"results.409",61,2020-03-04,"West Midlands","grocery_pharmacy",-14.3061224489796
"results.410",61,2020-03-04,"West Midlands","parks",3.97959183673468
"results.411",61,2020-03-04,"West Midlands","transit_stations",-55.265306122449
"results.412",61,2020-03-04,"West Midlands","workplaces",-36.4081632653061
"results.413",61,2020-03-04,"West Midlands","residential",15.0612244897959
"results.414",61,2020-03-04,"West Midlands","retail_recreation_av",-39.5556851311953
"results.415",61,2020-03-04,"West Midlands","grocery_pharmacy_av",-12.8095238095238
"results.416",61,2020-03-04,"West Midlands","parks_av",21.8247813411079
"results.417",61,2020-03-04,"West Midlands","transit_stations_av",-42.9201166180758
"results.418",61,2020-03-04,"West Midlands","workplaces_av",-35.0058309037901
"results.419",61,2020-03-04,"West Midlands","residential_av",12.7308066083576
"results.420",61,2020-03-04,"Yorkshire and the Humber","retail_recreation",-54.1071428571429
