"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Luton",-57.6709944130212,0.33215712728971,-10.9201779876498,3.32918807188695,2.86901907875391,1.04524523031156,2.06313804853579,2.72565945375606,-0.801176206043621
"Medway",-73.8158217010014,0.336147579264179,-11.7126770795496,14.4446975593725,13.1277048414716,9.66807378963213,10.2751094044592,8.78647363049829,0.936147579264177
"Merseyside",-74.3593551623336,0.292314877276737,-10.0332364693062,13.3099008873437,11.5487035787799,10.0128241053051,9.21027796516353,9.32017885250719,1.22564821061007
"Middlesbrough",-75.2616072509642,0.29801774687354,-12.2470940791863,12.1851218584055,9.4039645062529,8.55317554010348,9.36071990728727,8.67917509902613,0.964684413540204
"Milton Keynes",-79.6041201805821,0.309511701520419,-6.74954594987285,18.6071246951378,15.3809765969591,14.8547558507603,13.5952017712279,11.935659799699,4.90951170152041
"Norfolk",-78.4564578900938,0.359555809247055,-14.161914275336,13.3845718091087,10.4142217148392,9.14227790462357,9.01200076107448,7.92990590351648,0.892889142580392
"North East Lincolnshire",-69.8736443360489,0.31459706294432,-10.6902470032691,11.6647527372736,9.43747254077802,8.66979853147221,8.74379118883295,6.40854392610656,-0.21873627038901
"North Lincolnshire",-65.4485167695846,0.29651289502361,-6.61923356338538,13.6781026758688,10.8069742099528,9.31908978084518,9.62287201840415,7.56764136093955,2.76317956169028
"North Somerset",-77.2778492726549,0.370022313320533,-8.16155103523428,15.5740810890284,14.2599553733589,10.164177823327,10.9100669399616,8.55081469565665,2.50335564665387
"North Yorkshire",-81.8874785947796,0.363914690467541,-10.8253723211042,13.6244434642727,13.1388372857316,11.3444573452338,9.75841073806928,6.11618753567533,0.897248023800875
"Northamptonshire",-74.8367910331585,0.313901717606766,-9.80702869596801,13.7399001954578,12.8388632314531,11.2944508588034,11.0750384861536,9.61493868161136,2.24723505094009
"Northumberland",-73.8876498365419,0.352597166727206,-8.97239375227023,15.5122290834242,12.3614723332122,11.7512985833636,11.0577915001816,7.50335391693907,3.81926383339387
"Nottingham",-83.9104422880666,0.215920294743396,-8.81129676716307,12.7714994897341,10.3014927438465,7.44962681403842,8.84776088423017,5.88592704063097,1.88258696141006
"Nottinghamshire",-74.626769065781,0.333838410046183,-7.19751180530327,14.8793290436407,12.5989898465743,10.2877525383565,10.9348485634719,9.34751094044588,1.66717174337951
"Oxfordshire",-79.6606178541158,0.296741217373255,-7.59208136578276,12.6093975403456,10.2065175652535,9.58170394202001,8.95689031878642,7.966287859132,2.36340788403992
"Peterborough",-70.1175617940601,0.272658398630066,-6.68897566291316,11.7732733122308,10.4546832027399,9.24049586598174,8.15130852922352,8.12458184145432,2.07265839863006
"Plymouth",-76.5743171950944,0.291339318146437,-8.85379585906282,13.2989137391244,9.48398803037378,8.65400299240659,9.40735128777263,6.5729316935637,-0.108660681853558
"Portsmouth",-80.6982927715219,0.303741373047584,-7.14030148928439,17.5722787262381,11.7925172539048,10.0643706865238,11.9778907858094,8.95016951204742,-0.0962586269524132
"Reading",-82.3669814747547,0.32767889575009,-9.2879585906284,13.0915183436251,9.67797554183314,7.6013394478751,7.31637002058359,5.87455503087539,-0.538987770916575
"Redcar and Cleveland",-78.5316312939995,0.294307508691816,-12.5008172902288,17.2057469773234,13.878051649283,13.0179870876793,9.81625585940876,9.35533617006552,4.22764084202514
"Rutland",-78.6452540747842,0.258069670821349,-5.01901565995526,NA,NA,NA,NA,13.4702780441035,8.02563119207413
"Shropshire",-76.7439693494542,0.363722692128068,-8.35388666908823,16.9265364191445,14.2725546157439,11.8360280127308,13.4911680763842,10.6177044955286,1.56372269212806
"Slough",-63.0685330289034,0.306953453375538,-7.33218307301123,10.9818587514919,8.65275975991558,8.32847672668781,9.25419369345994,8.10271911161846,3.90695345337554
"Somerset",-78.3516302561707,0.33619428156297,-11.6787141300399,15.975719993773,13.7942781035407,10.3264304741149,11.4085828446889,9.25096950512857,2.0695276148963
"South Gloucestershire",-72.7076470689982,0.297628561050282,-4.94678532509987,14.0988237939564,13.2714095445661,10.7071476138585,12.7595523498175,10.1250428104405,7.23096189438362
"South Yorkshire",-74.0609966616504,0.30806911940221,-8.40973483472574,11.9859132029128,8.25052842786224,8.51236789303448,6.59087402487329,6.04345389445278,0.24140245273554
"Southampton",-83.7859426080638,0.256338539774791,-10.8626952415546,13.6678411429955,10.3539895871171,9.95316926988746,8.96901561932436,6.7701900956532,-0.61032812689188
"Southend-on-Sea",-78.7717641360939,0.332800581184162,-10.9800217944061,13.6658675384429,11.3343988376317,10.1747336239255,8.19840174355247,8.5976026153287,1.39946724785083
"Staffordshire",-75.1706536592115,0.351647553318457,-3.57964039229929,15.8869951395015,12.3633715600297,11.3966571099926,11.6549426599554,9.07527113279016,1.95164755331845
"Stockton-on-Tees",-71.9585698718281,0.319973016449587,-10.8918452597167,16.0061500008649,12.6267206337675,12.0974865082248,13.0265857160154,9.69940238354691,5.31997301644959
"Stoke-on-Trent",-73.8546572570182,0.333106740698459,-8.56293134762076,15.9044220158096,13.7337865186031,11.5540533703493,11.7326535554287,7.63707557123826,-1.40022659263488
"Suffolk",-78.0530468925673,0.360749312438379,-11.0995277878678,13.7792192067528,11.4785013751232,9.98870798955257,10.6155812706485,9.39480047740124,1.49408264577172
"Surrey",-78.623925414699,0.303596077006901,-10.1348528877588,13.972060782177,12.3928078459862,11.4976313718368,10.9107882310207,9.41618234653102,4.03692941034023
"Swindon",-75.0488056319512,0.27136111255254,-5.60461314929165,16.7689464307336,14.5239444415616,13.302347222943,16.1474166709909,11.0496964350578,3.00469444588588
"Thurrock",-85.6598758064794,0.345783820248041,-14.2883218307301,22.0067709684673,19.1750990261706,18.5687252434574,18.1706847940774,15.3774557625447,2.21245048691471
"Torbay",-79.7872520021448,0.375860100669399,-9.66618234653104,16.068552055766,13.5149464653279,10.0545967170014,11.1275803020082,8.06279902444083,-0.224139899330597
"Tyne and Wear",-75.1613979554771,0.278516942556172,-11.3729567744279,11.0130135090724,9.37629944822098,8.60175847127813,8.83555082766851,6.3152310034075,-0.521483057443828
"Warrington",-79.036848113746,0.310129209693321,-12.5227025063567,17.6580509573971,16.1130749139467,14.0050646048467,13.33038762908,13.188438586477,4.57679587635999
"Warwickshire",-77.4546607164478,0.326817497794613,-7.2199418815837,14.3545119609776,12.0130316710774,9.54674208223068,11.1137858267172,7.8016311210281,1.99348416446128
"West Berkshire",-77.5568263193398,0.289751439987546,-9.2585361423901,13.5274843028385,10.1538304533582,8.40737571999381,9.20258765329596,7.39673862280107,3.22308477332088
"West Midlands",-74.9027606247729,0.281184162731565,-6.79440610243368,13.1717762440974,10.2376316745369,9.89059208136582,9.51021915486135,9.01532873229201,1.8145174960649
"West Sussex",-76.7034507809661,0.326480203414457,-6.74300762804211,14.6563869717884,12.1470395931711,9.31324010170727,12.3794406102433,10.1024942486983,2.92648020341445
"West Yorkshire",-72.8064985383909,0.285657205126874,-8.56928804940064,11.4856286648332,7.82868558974624,7.74699526923014,5.92363828204728,6.2759336135471,0.0856572051268737
"Wiltshire",-76.1295072042619,0.355902651652742,-9.59634943697783,15.6171873108125,12.6215280300278,11.5071179924931,11.8010412882916,8.5515619324373,3.62256931831941
"Windsor and Maidenhead",-76.564392091744,0.33517720927819,-4.39057391936069,6.15752771867919,4.66297891477695,3.28008860463915,3.00553162783456,3.09639267984708,-0.131489457388476
"Wokingham",-72.3078511753411,0.326563229723418,-9.46040682891389,10.4374638922042,4.74687354055316,3.91328161486175,5.84635635583691,4.95048691470774,3.59322989639009
"Worcestershire",-75.0566429695742,0.323081313891339,-4.68697784235378,14.5893838755989,11.820504038884,10.6573739902791,11.8359106083407,8.35862781727289,1.92308131389134
"York",-85.4233684465431,0.316164184525971,-6.85615691972391,15.674246276789,13.967671630948,13.1997487589297,12.4818258869112,8.55607216370016,2.2494975178593
