"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Medway",-5.78871108109186,-0.0154234747114658,-24.6166455370183,-32.5935314711018,-97.6518583753984,0.27092632233891,0.13810703089256,0.295563391725706
"Merseyside",-14.0491988823258,0.0160594233694007,-19.1005849218805,-43.2848381807751,-78.7474370635354,0.230207875792403,0.182275082846878,0.225453609281501
"Middlesbrough",-13.8246038421723,0.0388467754178955,-24.8665090414178,-47.947974154544,-95.8596896812679,0.265781726977284,0.193149471356678,0.260833301162199
"Milton Keynes",-18.9650826318394,0.0189012000780843,-19.9431496002246,-49.7017013231217,-97.8671558604537,0.241662541531792,0.200662487465898,0.274602807061713
"Norfolk",-3.15983557634482,-0.0125486457247882,-37.7219074235292,-66.9313365246793,-117.366857696626,0.345284933500745,0.262685482068521,0.33042801048427
"North East Lincolnshire",-7.16745197417252,0.00711292779947296,-27.4182497176121,-106.401904504051,-89.2375984254621,0.312979676454166,0.424586188628709,0.255594941452972
"North Lincolnshire",-9.08309663111586,0.0238077423009896,-24.1171468515256,-83.2647804507519,-99.4616843706873,0.288789141556548,0.33134121383319,0.287324801000232
"North Somerset",-14.194278260825,0.0348069349398651,-27.5566977687288,-72.8357866386984,-98.0500424687013,0.296679288700341,0.295437806634927,0.274279394001869
"North Yorkshire",7.70127086796601,-0.0497149062097848,-47.6707515782636,-73.5080188545168,-125.873712830115,0.400791687201346,0.272875434789032,0.363732878060842
"Northamptonshire",-15.9577700014147,0.0237088498744381,-16.9209924350909,-44.4038689070221,-85.639340251609,0.239224416291269,0.179747245207273,0.240717033333721
"Northumberland",4.58495845176703,-0.03415994012841,-35.4837872163025,-53.295569132821,-125.618355002064,0.335744132103433,0.20778571227635,0.371552114420098
"Nottingham",-20.9285603756233,0.0213050674875997,-18.3457354138062,-45.084419528982,-88.6757911586775,0.189106847302804,0.190908553593016,0.256591427029798
"Nottinghamshire",-12.1339219396596,0.00989842510794433,-23.5841419535438,-43.3508696781368,-88.3437392006207,0.284426377004103,0.184409182992767,0.254461242229278
"Oxfordshire",-16.1615067820888,0.00661278751268493,-21.8971809304337,-65.9181710660617,-95.4491863613296,0.234996312456684,0.270500356595532,0.274746365212062
"Peterborough",-13.204634975905,0.0201067827410391,-23.5783296351524,-47.7212779179884,-94.4119736918964,0.271776973732783,0.194726276919608,0.271076070227339
"Plymouth",-15.9871858649702,0.0220784717112644,-25.810765522461,-69.3011869554224,-89.3308791921229,0.264626225513562,0.273292550260744,0.247523045495865
"Portsmouth",-9.00264878288625,-0.0239964142559259,-26.6728476278437,-68.7171103851491,-100.209329812114,0.251326174644752,0.292977569936591,0.296724472151629
"Reading",-22.0612825491876,0.0477449502710111,-16.0101250323581,-47.7701741714321,-82.7645538760192,0.190693899980946,0.194338089841587,0.232235184967708
"Redcar and Cleveland",-9.76209390645419,0.0178297546469365,-23.5962033942469,-57.0036813691737,-89.3077386465637,0.268730345606964,0.241377376481378,0.258232848140608
"Rutland",NA,NA,NA,NA,NA,NA,NA,NA
"Shropshire",-14.5146915785377,0.045246603173998,-25.7006226400089,-78.8943708970271,-99.7688433413373,0.298479054392388,0.303607881148466,0.265026573280502
"Slough",-8.48623209805798,-0.0694326808588121,-26.646298022424,-3.90949860801783,-89.5221211780084,0.330114587735254,0.0167702365707531,0.284804119506569
"Somerset",-4.61056595515145,-0.000806461349371703,-34.1341970690709,-78.2853993275131,-118.174603848972,0.316954522428375,0.302237378543835,0.331242370504075
"South Gloucestershire",-19.4073033459483,0.0485075629371861,-15.6720803910904,-50.0466805464592,-89.2958386691012,0.183116572007548,0.195960339166184,0.240526153176662
"South Yorkshire",-15.3129498549852,0.0267882862217006,-18.3882381723855,-48.5559218316204,-76.7103898000443,0.224017492059833,0.198287951169808,0.21670834360639
"Southampton",-7.61976796929218,-0.0240973746203036,-24.9023343773767,-51.8061840206992,-98.6797379307578,0.268158403870871,0.214612661194703,0.299934699499118
"Southend-on-Sea",-4.41073406443282,-0.00929939507917336,-23.0659881554573,-64.6969756861345,-109.31122693298,0.241829982002944,0.268936583287792,0.320736387439158
"Staffordshire",-13.4478433487779,0.0160832297190302,-20.7551288186374,-62.1985715390162,-93.937913761331,0.251715024855597,0.250591256167278,0.265459456126247
"Stockton-on-Tees",-16.6593375670455,0.0764068115932475,-18.4874656737925,-91.8257277234391,-99.3026134979866,0.162517138174077,0.36604373184252,0.257609073018401
"Stoke-on-Trent",-15.8494622829305,0.0400431714575697,-18.1566247831037,-48.556159735992,-78.9466482543897,0.225388668173506,0.193673303638216,0.214212817659996
"Suffolk",-10.8052658455062,0.0119036211838415,-29.2040956422567,-56.930991875973,-102.855498731882,0.310777735291225,0.229671169652032,0.289283586197788
"Surrey",-18.5944264404201,0.0141415455830375,-18.4272351187083,-36.6901931545441,-95.4179897551181,0.23248957821529,0.156552019199197,0.278760041078783
"Swindon",-22.8731002998997,0.0503007334656445,-11.1419704360055,-57.0974994342471,-79.1284982375931,0.0719365703761252,0.22646054575869,0.203817785745955
"Thurrock",-11.5971472895892,-0.00096839558824791,-29.8758807109146,-49.2065902974,-81.5552240662889,0.325462656021387,0.198638268134969,0.234112317942942
"Torbay",-4.87879930536815,0.0590300452275354,-29.224302999321,-77.3949515742945,-100.091063836503,0.262954758097263,0.290371784469862,0.256332396698628
"Tyne and Wear",-15.829285006897,0.0277866012422831,-19.3830486482812,-46.5648427591519,-83.9674912878211,0.220584350625583,0.192089855087375,0.231018130313538
