"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Nottinghamshire",13.0049054710878,-0.0818535623475688,9.3909371594624,5.98912441838341,6.49704045802847,7.10490655215953,7.02110597962396,7.54356373134068,2.78481310431909
"Oxfordshire",15.7523117637901,-0.0972134295054744,8.35978932074101,8.60656080812275,9.52776019234428,9.97639328524724,10.1083597114836,10.181587186273,2.63611990382786
"Peterborough",11.2982529880822,-0.0760676664418037,8.9596803487105,6.34542230986111,6.3521353328836,6.82029950011242,7.17179700067459,7.450552643869,2.59059900022486
"Plymouth",13.109304135748,-0.085081210108453,8.15483109335271,4.00809247055161,5.90349575355024,5.79495939494576,5.27808970300798,6.35284884022623,2.44825212322488
"Portsmouth",13.6352654247314,-0.0874578382024803,8.3153832183073,6.46643229031533,7.37491567640495,8.01877108089874,7.93762648539255,7.93739210904119,2.91254216179751
"Reading",14.8874664867763,-0.0859270406309998,6.40083545223393,11.1925380104821,11.971854081262,12.4987031463511,12.8755522114403,12.2680902219224,2.71407295936899
"Redcar and Cleveland",12.1909899157629,-0.0803331430647086,9.941064293498,4.01759552349818,4.69399961946275,4.8390000951343,4.82566723747254,5.77659609430403,2.11966685693529
"Rutland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shropshire",13.1619445453445,-0.0848165637486378,9.18062114057391,4.67277515437705,5.63629979416394,5.978425051459,6.07888364208742,6.48499212979778,2.24851676958469
"Slough",14.9305882759933,-0.0905142442011312,8.78714130039957,7.17137149084116,7.78102848840226,8.32140954456609,8.59512393406327,8.23316209157107,1.70948575579886
"Somerset",13.2802051441717,-0.0870478958019822,8.83572466400291,4.63133291820179,5.24076245827063,6.10230938543233,6.33885631259405,6.37018923079582,2.44628543753134
"South Gloucestershire",14.3824036116444,-0.0902340304083856,7.74091899745732,8.57417276391123,9.64713472748343,10.2923829847958,10.4626312421082,9.97013733935271,2.77643263625827
"South Yorkshire",12.7078753913479,-0.0825385293965024,9.05948056665456,5.4785731582862,6.365077058793,6.56289740196841,7.01905107847716,7.43095757009667,2.78412813727016
