"","x","p","lb_2.5","lb_25","ub_97.5","ub_75","d_comb","region"
"683",18411.0229007634,0.00100662752952744,0.000457426667246133,0.000782385552662659,0.00195565669502242,0.00127754387502775,2020-05-29,"EAST MIDLANDS"
"684",18412.0229007634,0.000973218865036021,0.000429686247865266,0.00074895140447163,0.00193929445513445,0.0012486614343305,2020-05-30,"EAST MIDLANDS"
"685",18413.0229007634,0.000942530515372442,0.000405524955151709,0.000718639218237425,0.00192177948287182,0.00121901576237374,2020-05-31,"EAST MIDLANDS"
"686",18414.0229007634,0.000913601824733695,0.000384727896944475,0.000690476038582221,0.00191306780276444,0.00119246234917005,2020-06-01,"EAST MIDLANDS"
"687",18415.0229007634,0.000887241236552772,0.000365017147410525,0.000664196051327713,0.00190031583527753,0.00116718832592519,2020-06-02,"EAST MIDLANDS"
"688",18416.0229007634,0.000862278804926474,0.000346773303898709,0.000640793878202949,0.00188016540292578,0.00114177753381752,2020-06-03,"EAST MIDLANDS"
"689",18417.0229007634,0.000838959227229609,0.000329508621828463,0.000619077043890081,0.00185844199977786,0.00111903346561032,2020-06-04,"EAST MIDLANDS"
"690",18418.0229007634,0.000817685437940836,0.000315293445977241,0.000599055360669804,0.00183486947934177,0.0010952515684578,2020-06-05,"EAST MIDLANDS"
"691",18419.0229007634,0.000795423477997313,0.000302629388393613,0.000580177338714107,0.001811608067758,0.00107196821488072,2020-06-06,"EAST MIDLANDS"
"692",18420.0229007634,0.000775644811217987,0.000292005034069442,0.000563009826444745,0.00178868885268258,0.00105057088481246,2020-06-07,"EAST MIDLANDS"
"693",18421.0229007634,0.000756941670519837,0.000281532754300617,0.000547036239194556,0.00175859225627193,0.00102772409653215,2020-06-08,"EAST MIDLANDS"
"694",18422.0229007634,0.000738478507809193,0.000273521332335411,0.000532619464743104,0.00172768663487795,0.00100526360905811,2020-06-09,"EAST MIDLANDS"
"695",18423.0229007634,0.000720217683021283,0.000265144859316039,0.00051985838524965,0.00169448149903278,0.000981533129007036,2020-06-10,"EAST MIDLANDS"
"696",18424.0229007634,0.000703532880421181,0.000257240689711531,0.000507042315618961,0.00165330117028926,0.000958886413373068,2020-06-11,"EAST MIDLANDS"
"697",18425.0229007634,0.000687474657655508,0.000251190578849375,0.000495974374656696,0.00160517333483633,0.000934919568560333,2020-06-12,"EAST MIDLANDS"
"698",18426.0229007634,0.000672976267240598,0.000245145207038295,0.000486674340603882,0.00155657220656613,0.000911479021674799,2020-06-13,"EAST MIDLANDS"
"699",18427.0229007634,0.000658800200827151,0.000241032473182072,0.00047849368749434,0.00150680386442439,0.000889502828680928,2020-06-14,"EAST MIDLANDS"
"700",18428.0229007634,0.000645753451448346,0.000237427284345849,0.000470664448425572,0.00145378577201747,0.000867202166531686,2020-06-15,"EAST MIDLANDS"
"701",18429.0229007634,0.000633306753873166,0.000236644182083318,0.000465262067088645,0.00139721601201808,0.000844486354459158,2020-06-16,"EAST MIDLANDS"
"702",18430.0229007634,0.000621249448546395,0.000236668832671685,0.000459954437999863,0.00133797258528041,0.0008231562462397,2020-06-17,"EAST MIDLANDS"
"703",18431.0229007634,0.000609599033080637,0.000237631319567047,0.000455087550264379,0.0012857425520271,0.000801650043555852,2020-06-18,"EAST MIDLANDS"
"704",18432.0229007634,0.000598424212736036,0.000238647856693891,0.000450468040755264,0.00123752064688687,0.000781412764379763,2020-06-19,"EAST MIDLANDS"
"705",18433.0229007634,0.000587448890367041,0.000240030771473798,0.00044606339629544,0.00119010088301291,0.000762334673698106,2020-06-20,"EAST MIDLANDS"
"706",18434.0229007634,0.000576810221519816,0.000240519215720899,0.000440861313211013,0.00114673720390566,0.000743636609346192,2020-06-21,"EAST MIDLANDS"
"707",18435.0229007634,0.000566835391272712,0.000241106869763284,0.000435676755012089,0.00110677731960729,0.000726775882956087,2020-06-22,"EAST MIDLANDS"
"708",18436.0229007634,0.000557974069976686,0.000241013867439995,0.000430598398757673,0.00107454710746857,0.000710436321776814,2020-06-23,"EAST MIDLANDS"
"709",18437.0229007634,0.000549360264878829,0.000239518585567694,0.000425024679498596,0.00104630665644065,0.000695773600347673,2020-06-24,"EAST MIDLANDS"
"710",18438.0229007634,0.000540647607124492,0.000238473690935634,0.000419392493078862,0.00102227207909056,0.000682372382777292,2020-06-25,"EAST MIDLANDS"
"711",18439.0229007634,0.000533070170674397,0.000237185422603198,0.000414098816952046,0.00100175851320034,0.000670912869372788,2020-06-26,"EAST MIDLANDS"
"712",18440.0229007634,0.000525516135412973,0.000235199910146443,0.000409027729477459,0.000988573284992119,0.000661295822197013,2020-06-27,"EAST MIDLANDS"
"713",18441.0229007634,0.000518956668843643,0.000233041416101194,0.000404045138911143,0.000977131947157934,0.000651991191926036,2020-06-28,"EAST MIDLANDS"
